Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,246357468,3160.641380418824,2977225,38.1962869248901,317737,4995412,64.08860266188789,49605,0.6364069940663465,4677,
United States of America,Americas,45635708,13787.113,501025,151.366,0,739856,223.52,8785,2.654,0
India,South-East Asia,34285814,2484.471,96040,6.959,12514,458437,33.22,3725,0.27,251
Brazil,Americas,21804094,10257.882,80535,37.888,10693,607694,285.894,2237,1.052,232
The United Kingdom,Europe,9019966,13286.93,285028,419.863,40726,140558,207.05,1097,1.616,166
Russian Federation,Europe,8513790,5833.982,272147,186.486,40993,238538,163.456,7938,5.439,1158
Turkey,Europe,8009040,9496.24,182027,215.828,23096,70410,83.484,1493,1.77,203
France,Europe,6937450,10666.541,38372,58.998,7285,115265,177.223,184,0.283,20
Iran (Islamic Republic of),Eastern Mediterranean,5916211,7043.7,64541,76.841,6809,126126,150.163,1074,1.279,128
Argentina,Americas,5288807,11701.995,8989,19.889,548,115950,256.551,127,0.281,8
Spain,Europe,5011149,10587.095,7329,15.484,0,87368,184.583,43,0.091,0
Colombia,Americas,5000677,9827.816,10996,21.61,1629,127258,250.1,226,0.444,33
Italy,Europe,4767440,7993.496,29978,50.264,4877,132074,221.447,272,0.456,37
Germany,Europe,4597550,5528.113,131393,157.987,16887,95729,115.105,629,0.756,33
Indonesia,South-East Asia,4244358,1551.734,3879,1.418,0,143405,52.429,170,0.062,0
Mexico,Americas,3805765,2951.744,22443,17.407,3478,288276,223.586,1930,1.497,325
Poland,Europe,3025247,7969.956,52320,137.836,7147,76999,202.852,552,1.454,9
Ukraine,Europe,2922302,6682.028,152897,349.609,17430,67729,154.867,3857,8.819,336
South Africa,Africa,2921886,4926.573,2554,4.306,297,89163,150.337,249,0.42,12
